Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Theft,5815 S. Maryland (Mitchell Hospital Gift Shop),5/14/17 2:43 PM,5/14/17 2:40 PM,Individual exited the gift shop without paying for several articles of merchandise hidden in her pocket / Management declined to prosecute,Ex. Cleared,17-00390
Found Narcotics,5815 S. Maryland (Mitchell Hospital),5/14/17 3:17 PM,5/14/17 2:15 PM,Staff members found 10 small plastic baggies in patient's room with narcotics residue (Heroin) inside / Turned over to UCPD for proper disposal,Closed,17-00391
Criminal Damage to Property,6300 S. University (Woodlawn Charter School Construction Site),5/15/17 9:36 AM,5/15/17 5:00 AM to 6:15 AM,Unknown person(s) scrawled graffiti on the interior walls on the 2nd floor and a stairwell of the building,Open,17-00392
Information / Robbery,4759 S. Woodlawn (Public Way),5/15/17 4:38 PM,5/15/17 4:30 PM,Unknown suspect took a back pack and cell phone from a victim walking on the sidewalk off campus / CPD case JA264869,CPD,17-00393
Information / Aggravated Robbery,5400 S. Drexel (Public Way),5/15/17 5:30 PM,5/15/17 5:25 PM,"Two unknown suspects, one implying a weapon (No weapon displayed) struck a victim walking on the sidewalk off campus, took a cell phone from the victim's hand and fled into Washington Park / Victim reported no physical injuries and declined medical attention / CPD case JA264998",CPD,17-00394
Medical Call,1116 E. 59th St. (Harper Library),5/16/17 3:38 PM,5/16/17 3:25 PM,Ill person transported to the hospital by CFD EMS for evaluation and treatment,Closed,17-00395
Information / Criminal Damage to Property,5615 S. University,5/17/17 8:43 AM,5/17/17 4:50 AM,Unknown person(s) spray painted graffiti on the front exterior brick wall and front door of residence / CPD case JA267274,CPD,17-00396
Information / Aggravated Robbery,5550 S. Dorchester (Public Way),5/17/17 10:59 PM,5/17/17 10:30 PM,"Two unknown suspects, one implying a weapon - no weapon seen - took an iPhone and wallet from a victim walking on the sidewalk off campus / Suspects fled to a waiting car that drove southbound on Dorchester / Victim reported no injuries / CPD case",CPD,17-00397
Theft,1100 E. 57th St. (Regenstein Library),5/18/17 11:01 AM,5/18/17 10:30 AM to 10:40 AM,"Laptop taken from unattended, unsecured book bag",Open,17-00398
Information,5848 S. University (Green Hall),5/18/17 10:22 AM,2/1/17 to 5/18/17  various,Small personal and household items found at various times on the 3rd floor outside of offices,Closed,17-00399
Found Property,850 E. 61st St. (UCPD HQ),5/18/17 2:25 PM,5/17/17 9:00 PM,Shuttle bus driver found cell phone on bus / Turned over to UCPD for safekeeping,Closed,17-00400
Traffic Crash / Personal Injury,5700 S. Kimbark,5/18/17 3:12 PM,5/18/17 3:10 PM,Motorist struck pedestrian in the crosswalk / Injured person transported to ER for evaluation and treatment / MVA 2017-00078,Closed,17-00401
Criminal Trespass to Land,6019 S. Ingleside (UC Residential Property),5/19/17 12:03 AM,5/19/17 12:03 AM,"An individual, who had been previously arrested for trespass and had been banned from UC property, was found loitering in the vestibule of a UC owned building / Subject arrested for trespass and a warrant from the Cook County Sheriff's Office",Arrest,17-00402
Information / Attempt Armed Robbery,5300 S. University,5/19/17 11:48 AM,5/19/17 11:40 AM,Individual was approached on the sidewalk off campus by a suspect armed with a handgun / Suspect demanded victim's property / Victim walked away and called CPD / CPD officers located suspect in nearby alley / Handgun recovered / Suspect arrested and charged with attempted armed robbery / CPD case JA270504,Arrest / CPD,17-00403
Found Property,850 E. 61st St. (UCPD HQ),5/19/17 1:49 PM,5/19/17 1:49 PM,Wallet found on UC Shuttle Bus turned over to UCPD / Inventoried and held for owner,Closed,17-00405
Theft,1212 E. 59th St. (Ida Noyes),5/19/17 2:47 PM,5/3/17 to 5/9/17 10:00 PM to 8:00 PM,"Electronic speaker placed in secured, shared basement storage room was taken by unknown person(s) / Follow up investigation revealed the speaker had been moved and stored in another location / No theft occurred",Unfounded,17-00406
Non-Criminal Fire,929 E. 57th St. (Gordon Center),5/20/17 9:24 PM,5/20/17 9:23 PM,Small accidental fire caused by overheated sodium in Fume Hood Sand Unit in lab E547F / Nearby papers (no value) burned but were extinguished by use of fire extinguisher / CFD on scene ,Closed,17-00407
Information / Burglary,53rd between Maryland & Drexel,5/20/17 9:25 PM,5/20/17 9:00 AM to 9:10 PM,Unknown person(s) gained entry to off campus private apartment and took a laptop and wristwatch / No signs of forced entry / CPD case JA272509,CPD,17-00408
Assist Other Agency / Burglary,Drexel between 53rd & 54th,5/21/17 10:28 AM,5/21/17 10:25 AM,A witness observed 2 unknown suspects enter 3rd floor apartment in off campus apartment building via a window and called police / UCPD officers located and detained two suspects in possession of property taken from the apartment / Suspects turned over to CPD and charged with burglary / CPD case JA272979,CPD / Arrest,17-00409
Assist Other Agency  ,6101 S. Cottage Grove (Construction Site),5/21/17 2:00 PM,5/21/17 2:00 PM,UCPD officers detained one suspect wanted by CPD for trespass to the off campus construction site at 61st & Cottage Grove / CPD took a second suspect into custody,CPD ,17-00410
Lost Property,5500 S. University (Baker Dining Hall),5/21/17 2:38 PM,5/21/17 12:30 PM to 1:30 PM,Individual believes he lost back pack while in the dining hall,Closed,17-00411
Information / Burglary,Drexel between 52nd & 53rd,5/21/17 4:42 PM,5/20/17 6:00 PM,Individual awaked in off campus apartment and heard voices / Victim confronted a suspect who yelled to associates to run from the apartment / Suspects had taken various items from the residence / CPD case JA273390,CPD,17-00412
Information,1144 E. 59th St.,5/22/17 2:48 AM,5/22/17 2:35 AM,Information for police regarding a conversation and interaction with a suspicious person / Under investigation,Open,17-00413
Theft,933 E. 56th St. (Construction Site),5/22/17 11:20 AM,5/19/17 to 5/22/17 1:00 PM to 7:00 AM,Unknown person(s) removed an unsecured plate compactor (construction tool) from the construction site,Open,17-00414
Information,5800 S. Stony Island (Shapiro Hall Parking Lot),5/22/17 4:22 PM,5/22/17 3:50 PM,An individual informed a security officer that she was struck by a parking lot gate as it was lowering / Reported no injury and declined medical attention,Closed,17-00415
Information / Robbery,5201 S. Ingleside (Public Way),5/22/17 6:55 PM,5/22/17 6:40 PM,Two unknown suspects struck a victim walking on the sidewalk off campus took a wallet and cell phone before fleeing on foot / CPD case JA274950,CPD,17-00416
Information / Aggravated Robbery,5208 S. Ingleside (Public Way),5/22/17 7:05 PM,5/22/17 6:30 PM,"Two unknown suspects, one implying a weapon - no weapon displayed - took an iPhone and wallet from an individual walking on the sidewalk off campus / CPD case JA274992",CPD,17-00417
Information / Armed Robbery,5553 S. Blackstone (Public Way),5/23/17 2:03 AM,5/23/17 1:55 AM,"Unknown suspect, armed with a handgun, took a wallet and iPhone from an individual walking on the sidewalk off campus / Victim reported no physical injuries / CPD case",CPD,17-00418
Information / Robbery,1221 E. 54th St. (Public Way),5/23/17 8:59 AM,5/22/17 7:25 PM,Four unknown suspects struck victim walking on the sidewalk off campus and took a briefcase before fleeing in an unknown direction / CPD case JA275078,CPD,17-00419
Information / Domestic Battery,Kimbark between 62nd & 63rd,5/23/17 1:38 PM,5/23/17 1:20 PM,Individual cut on chest during a domestic dispute in private apartment off campus / CPD arrest / CPD case JA275993,CPD / Arrest,17-00420
Lost Property,5758 S. Maryland (DCAM),5/23/17 2:31 PM,5/16/17 1:20 PM t0 9:15 PM,Individual reports loss of 6 bottles of prescribed medicine while a patient in the hospital,Closed,17-00421
Information / Aggravated Robbery,4906 S. Dorchester (Public Way),5/23/17 6:51 PM,5/23/17 6:40 PM,"Unknown suspect, implying a weapon (none seen) took a cell phone and wallet from an individual walking on the sidewalk off campus / Fled to a waiting white car / CPD case JA276148",CPD,17-00422
Information / Armed Robbery,Hyde Park between 54th & 55th,5/24/17 12:19 AM,5/23/17 10:30 PM,Individual agreed to buy a PlayStation console from unknown subject via Facebook / Victim invited seller into apartment / Suspect displayed a knife and demanded victim's wallet and cell phone / Suspect fled apartment with proceeds / CPD case JA276696,CPD,17-00423
Information  ,University between 57th & 58th,5/24/17 12:37 AM,5/23/17 11:50 PM,Resident of fraternity house heard noise in the basement and saw two unknown individuals exiting via the basement door / Unsure if suspects took any property / Referred to CPD,Referred,17-00424
Lost Property,1131 E. 57th St. (Hutchinson Commons),5/24/17 12:44 AM,5/23/17 9:00 PM to 10:00 PM,Individual reports losing cell phone,Closed,17-00425
Found Property,5725 S. Drexel (Public Way),5/24/17 9:58 AM,5/24/17 9:58 AM,A book bag was found in the parkway / Inventoried at UCPD pending notification of owner,Closed,17-00426
Information,5828 S. University (Pick Hall),5/24/17 1:27 PM,5/24/17 1:27 PM,"Information relating to a suspicious, non-threatening letter",Closed,17-00427
Medical Call,5828 S. University (Pick Hall),5/24/17 2:14 PM,5/24/17 2:14 PM,Sick person transported to Student Health Services for treatment,Closed,17-00428
Information / Aggravated Robbery,4901 S. Greenwood (Public Way),5/24/17 11:04 PM,5/24/17 11:00 PM,"2 unknown suspects, implying a weapon - no weapon seen - took property from 2 victims walking on the sidewalk off campus / Suspects fled in a waiting vehicle / CPD case JA278038",CPD,17-00429
Burglary,5709 S. Ellis (Snell Hall),5/24/17 11:55 PM,5/22/17 to 5/24/17 9:00 AM to 10:30 PM,Unknown person took iPad from unsecured room in residence hall,Open,17-00430
Information / Suspicious Person,5801 S. Ellis (Levi Hall),5/25/17 9:06 AM,5/25/17 8:50 AM,"An unruly, disorderly individual confronted staff member / Subject left before police arrived",Closed,17-00431
Found Property,5801 S. Ellis (Levi Hall),5/25/17 9:40 AM,5/25/17 7:00 AM,Wallet found in Levi Hall turned over to UCPD for safekeeping,Closed,17-00432
Traffic Crash,5756 S. Ellis (Public Way),5/25/17 11:00 AM,5/25/17 11:00 AM,UC owned vehicle involved in minor property damage accident / No injuries reported,Closed,17-00434
Lost Property,5500 S. University to 5811 S. Ellis,5/25/17 5:54 PM,5/24/17 10:30 AM to 2:00 PM,Individual reports losing wallet on campus,Closed,17-00435
Information / Fire,5706 S. University (Reynolds Club),5/25/17 8:18 PM,5/25/17 8:18 PM,CFD responded to a call of a fire in the rear of the Reynolds Club / Smoke was from charcoal grill / False alarm,Closed,17-00436
Information,850 E. 61st St. (UCPD HQ),5/26/17 12:15 A M,5/25/17 5:15 PM,Information relating to a posting on a social media site,Open,17-00437
Information / Armed Robbery,Everett between 55th & 56th,5/26/17 7:40 AM,5/25/17 9:25 PM,"Delayed report - Unknown suspect, armed with a handgun, took property from a victim about to enter an off campus private apartment building / CPD case",CPD,17-00438
Warrant Arrest,5537 S. Lake Park ,5/26/17 11:45 AM,5/26/17 11:45 AM,UCPD officers arrested subject wanted on a warrant from the Cook County Sheriff's Office,Arrest,17-00439
Sexual Assault / Fondling,5625 S. Ellis (Max Palevsky RH),5/26/17 2:50 PM,3/15/17 unknown time,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the student residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report     17-022
Liquor Law Violation,Drexel between 53rd & 54th,5/26/17 10:13 PM,5/26/17 10:13 PM,Underage individual became ill after consuming alcoholic beverages / Transported to the ER by CFD EMS,Referred,17-00440
Information,6315 S. Cottage Grove (Public Way),5/27/17 12:18 PM,5/27/17 12:18 PM,Unknown person fired a weapon / Bullet struck a vehicle parked on the street off campus / No injuries resulted / CPD case,CPD,17-00441
Found Property,6031 S. Ellis (Granville-Grossman RH),5/27/17 1:38 PM,5/27/17 1:38 PM,Found wallet turned over to UCPD / Inventoried and held for owner,Closed,17-00443
Medical Call,1005 E. 60th St. (Burton-Judson RH),5/28/17 4:48 AM,5/28/17 4:48 AM,Sick person transported to ER by CFD EMS,Closed,17-00444
Recovered Motor Vehicle,6357 S. Greenwood,5/28/17 8:04 AM,5/28/17 8:04 AM,UCPD officer recovered an unoccupied vehicle parked at the curb that had previously been reported stolen to CPD / Recovered via in-car license plate reader / CPD case,CPD,17-00445
Found Narcotics,5700 S. Maryland (CCD),5/28/17 10:56 AM,5/28/17 10:56 AM,Staff member found small packages containing heroin in patient's room / Turned over to UCPD for proper disposal,Closed,17-00446
Injured Person,850 E. 61st St. (UCPD HQ),5/28/17 11:55 AM,5/28/17 11:55 AM,Staff member injured finger,Closed,17-00447
Theft,5500 S. University (Campus North RH),5/28/17 3:56 PM,5/27/17 9:30 AM to 10:00 AM,Individual left cell phone in dining hall restroom / Upon return discovered phone taken by unknown person,Open,17-00448
Criminal Damage to Property,5311 S. Lake Park,5/28/17 8:58 PM,5/28/17 8:58 PM,Suspect entered restricted area in restaurant and broke a bottle of liquor / Arrested by UCPD,Arrest,17-00449
Information / Attempt Burglary,Woodlawn between 62nd & 63rd,5/29/17 4:25 PM,5/29/17 4:15 PM to 4:25 PM,Resident of off campus private apartment observed an unknown person attempt to gain entry to residence by prying a rear window / Suspect fled when he saw victim / CPD case JA283908,CPD,17-00450
Information / Suspicious Letter,900 E. 57th St. (Knapp Center),5/29/17 6:23 PM,5/29/17 2:50 PM,Suspicious letter found on a shared printer in lab,Open,17-00451
Information / Aggravated Battery,5030 S. Drexel (Public Way),5/29/17 9:25 PM,5/29/17 9:25 PM,Individual standing on the sidewalk off campus was wounded in the abdomen as a result of gunfire from a passing vehicle / Victim transported to hospital by associates / CPD case JA284231,CPD,17-00452
Burglary,1307 E. 60th St. (Keller Center Construction Site),5/30/17 9:21 AM,5/29/17 to 5/30/17 7:15 AM to 8:00 AM,"Unknown person(s) gained entry to building by prying a window / Took 60' of 1-1/2"" copper tubing",Open,17-00453
Information,5710 S. Woodlawn (Center for Identity & Inclusion),5/30/17 11:24 AM,5/25/17 to 5/30/17  11:00 AM to 11:00 AM,"Staff members report receiving unwanted, unsolicited religious literature in the mail",Closed,17-00454
